City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Torbay,CA,47.6666,-52.7314,37.0,100,90,14.97,light intensity drizzle
1,Bredasdorp,ZA,-34.5322,20.0403,50.0,87,0,1.14,clear sky
2,Sao Francisco De Assis,BR,-29.5503,-55.1311,63.63,80,27,6.87,scattered clouds
3,Marquette,US,46.5333,-87.6335,37.0,69,1,4.21,clear sky
4,Saint Anthony,US,45.0205,-93.218,53.6,46,1,4.47,clear sky
5,Carnarvon,AU,-24.8667,113.6333,86.0,58,0,17.27,clear sky
6,Kaitangata,NZ,-46.2817,169.8464,63.0,61,37,17.0,scattered clouds
7,Saskylakh,RU,71.9167,114.0833,-6.68,91,16,2.68,few clouds
8,Atar,MR,20.5169,-13.0499,78.89,18,69,8.39,broken clouds
9,Sanda,JP,34.8833,135.2333,62.6,94,75,2.3,mist
10,Butaritari,KI,3.0707,172.7902,82.29,78,20,13.22,light rain
11,Ancud,CL,-41.8697,-73.8203,46.0,100,20,6.91,few clouds
12,Mahebourg,MU,-20.4081,57.7,82.4,83,75,14.97,light rain
13,Nikolskoye,RU,59.7035,30.7861,35.6,69,0,6.71,clear sky
14,Portland,US,45.5234,-122.6762,57.2,51,90,9.22,overcast clouds
15,Yellowknife,CA,62.456,-114.3525,8.6,61,75,11.5,broken clouds
16,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,88,75,19.57,broken clouds
17,Cape Town,ZA,-33.9258,18.4232,66.0,100,75,3.44,mist
18,Jega,NG,12.2175,4.3792,74.12,10,1,9.4,clear sky
19,Suamico,US,44.6319,-88.0393,45.0,61,1,8.05,clear sky
20,Tsumeb,NA,-19.2333,17.7167,57.2,88,0,3.44,clear sky
21,Busselton,AU,-33.65,115.3333,75.0,70,97,4.0,overcast clouds
22,Cayenne,GF,4.9333,-52.3333,80.01,100,75,10.13,broken clouds
23,Bodden Town,KY,19.2833,-81.25,77.0,1,4,28.99,clear sky
24,Chuy,UY,-33.6971,-53.4616,63.99,91,1,5.93,clear sky
25,Konstantinovka,RU,49.6167,127.9833,48.25,38,100,15.79,overcast clouds
26,Nichinan,JP,31.6,131.3667,69.8,94,75,3.44,broken clouds
27,Chokurdakh,RU,70.6333,147.9167,-2.9,92,17,6.87,few clouds
28,Elbistan,TR,38.2059,37.1983,44.56,73,6,0.83,clear sky
29,Tchibanga,GA,-2.85,11.0333,70.07,98,100,1.03,overcast clouds
30,Bluff,NZ,-46.6,168.3333,60.01,78,35,21.0,scattered clouds
31,Qaanaaq,GL,77.484,-69.3632,-21.26,72,15,9.6,few clouds
32,Maniitsoq,GL,65.4167,-52.9,22.41,48,100,10.65,overcast clouds
33,Jamestown,US,42.097,-79.2353,46.0,36,75,8.05,broken clouds
34,Kapaa,US,22.0752,-159.319,73.4,73,75,19.57,moderate rain
35,Lebu,CL,-37.6167,-73.65,52.5,90,3,9.33,clear sky
36,Hermanus,ZA,-34.4187,19.2345,61.0,94,1,5.03,clear sky
37,Ales,FR,44.1333,4.0833,48.2,46,0,14.97,clear sky
38,Fiumicino,IT,41.7675,12.2291,53.01,62,20,9.22,few clouds
39,Albany,US,42.6001,-73.9662,36.0,38,65,3.27,broken clouds
40,Rairangpur,IN,22.2676,86.1751,93.2,27,0,5.55,haze
41,Norman Wells,CA,65.282,-126.8329,6.8,66,75,5.75,broken clouds
42,Solnechnyy,RU,50.7214,136.6319,36.7,31,3,11.32,clear sky
43,Hobart,AU,-42.8794,147.3294,68.0,32,20,17.27,few clouds
44,Mogadishu,SO,2.0371,45.3438,84.2,70,40,9.22,scattered clouds
45,Atuona,PF,-9.8,-139.0333,80.78,75,100,13.69,overcast clouds
46,Isiolo,KE,0.3546,37.5822,72.28,69,96,7.07,overcast clouds
47,Roald,NO,62.5833,6.1333,43.0,93,90,29.93,light rain
48,Anadyr,RU,64.75,177.4833,3.2,85,75,11.18,mist
49,Isangel,VU,-19.55,169.2667,79.07,81,99,19.44,overcast clouds
50,Punta Arenas,CL,-53.15,-70.9167,39.2,70,0,11.5,clear sky
