City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Atar,MR,78.89,broken clouds,20.5169,-13.0499,Oumou Elghoura
10,Butaritari,KI,82.29,light rain,3.0707,172.7902,Isles Sunset Lodge
12,Mahebourg,MU,82.4,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
17,Cape Town,ZA,66.0,mist,-33.9258,18.4232,Southern Sun Waterfront Cape Town
18,Jega,NG,74.12,clear sky,12.2175,4.3792,ALH. Nasiru Ibrahim
21,Busselton,AU,75.0,overcast clouds,-33.65,115.3333,Observatory Guest House
22,Cayenne,GF,80.01,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
23,Bodden Town,KY,77.0,clear sky,19.2833,-81.25,Will T Place
26,Nichinan,JP,69.8,broken clouds,31.6,131.3667,Guest House Aki
34,Kapaa,US,73.4,moderate rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
43,Hobart,AU,68.0,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
44,Mogadishu,SO,84.2,scattered clouds,2.0371,45.3438,Olympic Hotel
45,Atuona,PF,80.78,overcast clouds,-9.8,-139.0333,Villa Enata
46,Isiolo,KE,72.28,overcast clouds,0.3546,37.5822,Gaddisa Hotel
49,Isangel,VU,79.07,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
51,Rikitea,PF,78.06,few clouds,-23.1203,-134.9692,Pension Maro'i
52,Bubaque,GW,74.93,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
59,Najran,SA,68.0,dust,17.4924,44.1277,محمد هادي ال فطيح
60,Byron Bay,AU,69.8,light rain,-28.65,153.6167,Backpackers Inn on the Beach
63,Sao Felix Do Xingu,BR,73.53,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
66,Joshimath,IN,67.03,clear sky,30.5667,79.5667,Shivalik Camps & Resort
67,New Norfolk,AU,66.99,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
70,Shingu,JP,68.0,broken clouds,33.7333,135.9833,Shingu UI Hotel
76,Namibe,AO,76.69,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
78,Vaini,TO,73.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
80,Pisco,PE,73.4,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
81,Manaure,CO,79.02,overcast clouds,11.7751,-72.4445,Hotel Palaaima
82,Antalaha,MG,79.05,few clouds,-14.9003,50.2788,Hotel Vitasoa
83,Cockburn Town,TC,75.78,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
84,Porto Novo,BJ,82.4,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
85,Nuevitas,CU,66.2,overcast clouds,21.5453,-77.2644,Hotel Caonaba
87,Avarua,CK,80.6,few clouds,-21.2078,-159.775,Paradise Inn
89,Arraial Do Cabo,BR,73.94,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
94,Namatanai,PG,80.83,moderate rain,-3.6667,152.4333,Namatanai Hotel
95,Lethem,GY,77.76,overcast clouds,3.3803,-59.7968,Savannah Inn
98,Pemangkat,ID,84.43,broken clouds,1.1667,108.9667,Kost H.Syamsuddin
100,Trujillo,PE,71.1,broken clouds,-8.116,-79.03,Casa Andina Standard Trujillo Plaza
102,Hilo,US,69.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
106,Bengkulu,ID,81.18,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
107,Nongstoin,IN,78.46,clear sky,25.5167,91.2667,P.W.D. Inspection Bungalow
108,Puerto Escondido,MX,80.15,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
112,Hasaki,JP,71.6,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
