City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kaitangata,NZ,2021-04-02 00:07:44,-46.2817,169.8464,59.0,53,81,15.99
1,Jamestown,US,2021-04-02 00:07:44,42.097,-79.2353,26.01,86,90,19.57
2,Busselton,AU,2021-04-02 00:07:45,-33.65,115.3333,68.0,87,52,3.0
3,Chernyshevskiy,RU,2021-04-02 00:07:45,63.0128,112.4714,-13.5,94,67,3.85
4,Yellowknife,CA,2021-04-02 00:07:45,62.456,-114.3525,17.6,93,90,11.5
5,Krasnovishersk,RU,2021-04-02 00:07:46,60.4078,57.082,31.78,98,100,7.02
6,Dikson,RU,2021-04-02 00:07:46,73.5069,80.5464,-10.19,81,100,6.89
7,Wamba,NG,2021-04-02 00:07:46,8.9333,8.6,78.84,17,82,5.19
8,Sao Filipe,CV,2021-04-02 00:07:46,14.8961,-24.4956,71.78,77,78,9.13
9,Kapaa,US,2021-04-02 00:07:47,22.0752,-159.319,80.6,61,40,16.11
10,Hauterive,FR,2021-04-02 00:07:47,46.0901,3.4459,48.2,61,0,1.14
11,Butaritari,KI,2021-04-02 00:07:48,3.0707,172.7902,82.42,77,66,12.15
12,Ixtapa,MX,2021-04-02 00:07:48,20.7,-105.2,77.0,69,1,8.05
13,Kaeo,NZ,2021-04-02 00:07:48,-35.1,173.7833,73.0,63,10,11.01
14,Mastic Beach,US,2021-04-02 00:07:49,40.7668,-72.8521,44.01,56,89,4.0
15,Ponta Do Sol,PT,2021-04-02 00:07:49,32.6667,-17.1,59.0,74,0,1.99
16,Rikitea,PF,2021-04-02 00:07:49,-23.1203,-134.9692,73.51,88,100,9.42
17,Hilo,US,2021-04-02 00:07:50,19.7297,-155.09,80.6,57,40,12.66
18,Maralal,KE,2021-04-02 00:07:50,1.0968,36.698,60.71,74,37,3.96
19,Lompoc,US,2021-04-02 00:07:51,34.6391,-120.4579,72.0,52,0,13.8
20,Vaini,TO,2021-04-02 00:07:51,-21.2,-175.2,84.2,79,75,6.91
21,Jojoima,SL,2021-04-02 00:07:51,7.8792,-10.7878,75.65,90,84,1.95
22,Kobryn,BY,2021-04-02 00:07:52,52.2138,24.3564,46.4,87,90,15.66
23,Hermanus,ZA,2021-04-02 00:07:52,-34.4187,19.2345,60.01,84,100,5.84
24,Upernavik,GL,2021-04-02 00:07:52,72.7868,-56.1549,25.66,79,100,6.78
25,Mataura,NZ,2021-04-02 00:07:52,-46.1927,168.8643,55.99,69,91,15.01
26,Cape Town,ZA,2021-04-02 00:05:50,-33.9258,18.4232,62.6,67,0,9.22
27,Barrow,US,2021-04-02 00:04:35,71.2906,-156.7887,-5.8,71,1,5.75
28,Cidreira,BR,2021-04-02 00:06:02,-30.1811,-50.2056,70.03,67,51,11.81
